name,park,country,score,status,manufacturer,construction,launch,restraint,type,opening_year,height,speed,length,inversions
Vampire,Walibi Belgium,Belgium,6.5,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,NA,1999,108.2664,49.70968,2260.4712,5
Corkscrew,Cedar Point,United States,6.5,Operating,Arrow,Steel,Chain lift hill,Shoulder harness,Looper,1976,75.4584,43.49597,2017.692,3
Scary Toys Factory,Legendia,Poland,6.4,Operating,Unknown,Steel,Chain lift hill,Common lap bar,Zyklon Z47,NA,NA,NA,NA,0
Carolina Cyclone,Carowinds,United States,6.3,Operating,Arrow,Steel,Chain lift hill,Shoulder harness,Looper,1980,65.616,41.010486,2099.712,4
Flying Fish,Thorpe Park,United Kingdom,6.3,Operating,Mack,Steel,NA,Lap bar,E-Powered,1983,19.6848,18.64113,767.7072,0
Super Wirbel,Holiday Park,Germany,6.3,Definitely closed,Vekoma,Steel,Chain lift hill,Shoulder harness,Looper,1979,75.4584,39.767744,2401.5456,2
Spinning Out,Beech Bend,United States,6.1,Operating,SBF,Steel,Booster wheel lift hill,Lap bar,NA,2016,NA,NA,NA,0
Rexplorer,Mirabilandia,Italy,5.9,Operating,Mack,Steel,NA,Lap bar,E-Powered,1992,13.1232,22.369356,820.2,0
Zoomerang,Lake Compounce,United States,5.8,Operating,Vekoma,Steel,Cable lift hill,Shoulder harness,Shuttle,1997,114.828,46.602825,935.028,3
Blue Tornado,Gardaland,Italy,5.7,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,SLC,1998,108.2664,49.70968,2509.812,5
Loopen,TusenFryd,Norway,5.7,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,Looper,1988,NA,NA,NA,2
Magic Mouse,Didiland,France,5.5,Definitely closed,SBF,Steel,Chain lift hill,Shoulder harness,NA,2010,36.0888,26.718953,1017.048,0
Imoogi,Le Fleury,France,5.3,Operating,Pinfari,Steel,Chain lift hill,None,"Zyklon Z47, Family",2016,55.7736,NA,NA,0
Blue Hawk,Six Flags Over Georgia,United States,5.1,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,Looper,1992,121.3896,52.195164,2742.7488,5
Ninja,Six Flags St Louis,United States,5,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,Looper,1989,108.2664,54.680648,2431.0728,4
King,Foire,N/A,5,Operating,Soquet,Steel,Chain lift hill,Shoulder harness,NA,1995,91.8624,55.92339,2362.176,0
Steamin' Demon,Great Escape,United States,5,Operating,Arrow,Steel,Chain lift hill,Shoulder harness,Looper,1984,68.8968,43.49597,1601.0304,3
Mind Eraser,Six Flags New England,United States,4.9,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,SLC,1997,111.5472,49.70968,2260.4712,5
T3,Kentucky Kingdom,United States,4.2,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,SLC,1995,101.7048,49.70968,2171.8896,5
Master Thaï,Mirabilandia,Italy,4.1,Operating,Preston & Barbieri,Steel,Chain lift hill,Lap bar,Family,2011,36.0888,NA,1410.744,0
Boomerang,Six Flags St Louis,United States,4,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,Boomerang,2013,118.1088,46.602825,875.9736,3
MP-Xpress,Movie Park Germany,Germany,3.8,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,SLC,2001,108.2664,49.70968,2260.4712,5
Trombi,Särkänniemi Amusement Park,Finland,3.7,Operating,Zamperla,Steel,Electrical lift hill,Flying restraint,NA,2005,49.212,25.476211,1282.7928,2
Mind Eraser,Six Flags America,United States,3.2,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,SLC,1995,108.2664,49.70968,2260.4712,5
Boomerang Coast to Coaster,Six Flags Discovery Kingdom,United States,3.1,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,"Shuttle, Boomerang",1998,118.1088,47.224196,935.028,3
Boomerang,Worlds of Fun,United States,3,Operating,Vekoma,Steel,Cable lift hill,Shoulder harness,Shuttle,2000,118.1088,47.224196,935.028,3
Familienachterbahn,Schloss Beck Freizeitpark,Germany,3,Operating,Zierer,Tivoli Medium,NA,None,NA,NA,NA,NA,NA,0
Coaster Express,Parque Warner Madrid,Spain,3,Operating,RCCA,Wooden,Chain lift hill,Lap bar,Twister,2002,118.1088,55.92339,4573.4352,0
Flashback,Six Flags New England,United States,2.7,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,"Shuttle, Boomerang",2000,118.1088,46.602825,875.9736,3
Limit,Heide Park,Germany,2.7,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,SLC,1999,108.2664,49.70968,2260.4712,5
Boomerang,La Ronde,Canada,2.7,Operating,Vekoma,Steel,Cable lift hill,Shoulder harness,"Shuttle, Boomerang",1984,118.1088,47.224196,935.028,3
Demon,California's Great America ,United States,2.6,Operating,Arrow,Steel,Chain lift hill,Shoulder harness,Looper,1976,101.7048,50.331051,2129.2392,4
Flight Deck,Canada's Wonderland,Canada,2.2,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,SLC,NA,108.2664,49.70968,3244.7112,5
El Paso-Express,Hansa Park,Germany,1.8,Definitely closed,Schwarzkopf,Steel,Electrical launch,Lap bar,E-Powered,1989,32.808,NA,NA,0
Time Warp,Canada's Wonderland,Canada,1.4,Operating,Zamperla,Steel,Electrical lift hill,Flying restraint,NA,2004,49.212,25.476211,1282.7928,2
Looping,Parc Saint Paul,France,1.3,Definitely closed,Soquet,Steel,Electrical lift hill,Shoulder harness,Looper,2003,NA,NA,NA,1
Kong,Six Flags Discovery Kingdom,United States,0.6,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,SLC,1998,111.5472,49.70968,2260.4712,5
Viking Roller Coaster,Energylandia,Poland,0.6,Operating,SBF,Steel,Chain lift hill,Shoulder harness,Wild Mouse,NA,42.6504,NA,1049.856,0
El Condor,Walibi Holland,Netherlands,0.5,Operating,Vekoma,Steel,Chain lift hill,Shoulder harness,SLC,1994,101.7048,49.70968,2171.8896,5
Volare,Wiener Prater,Austria,0.3,Operating,Zamperla,Steel,Spiral lift,Flying restraint,NA,2004,68.8968,31.06855,1436.9904,2
